municipality,iata_code,,name,iso_region
Isalo,RLR,,Relais de la Reine Airport,MG-U-A
Doany,DOA,,Doany Airport,MG-D
Coban,CBV,,Coban Airport,GT-AV
Carmelita,CMM,,Carmelita Airport,GT-PE
Coatepeque,CTF,,Coatepeque Airport,GT-QZ
Guatemala City,GUA,,La Aurora Airport,GT-GU
Huehuetenango,HUG,,Huehuetenango Airport,GT-HU
Matagorda Island,MGI,,National Wildlife Refuge Airport,US-TX
Manga Mission,MGP,,Manga Airport,PG-NIK
Puerto Barrios,PBR,,Puerto Barrios Airport,GT-IZ
Poptún,PON,,Poptún Airport,GT-PE
Santa Cruz del Quiché,AQB,,Quiché Airport,GT-QC
Quezaltenango,AAZ,,Quezaltenango Airport,GT-QZ
Rubelsanto,RUV,,Rubelsanto Airport,GT-AV
Rio Dulce,LCF,,Las Vegas Airport,GT-IZ
Retalhuleu,RER,,Retalhuleu Airport,GT-RE
Puerto San José,GSJ,,San José Airport,GT-ES
San Benito,FRS,,Mundo Maya International Airport,GT-PE
Ailuk Island,AIM,,Ailuk Airport,MH-ALK
Aur Atoll,AUL,,Aur Island Airport,MH-AUR
Bikini Atoll,BII,,Enyu Airfield,MH-BIK
Ebadon Island,EBN,,Ebadon Airport,MH-KWA
Ailinglapalap Atoll,JAT,,Jabot Airport,MH-JAB
Ailinglapalap Atoll,JEJ,,Jeh Airport,MH-ALL
Likiep Island,LIK,,Likiep Airport,MH-LIK
Lae Island,LML,,Lae Island Airport,MH-LAE
Maloelap Island,MAV,,Maloelap Island Airport,MH-MAL
Mejit Atoll,MJB,,Mejit Atoll Airport,MH-MEJ
Majkin,MJE,,Majkin Airport,MH-NMU
Namorik Atoll,NDK,,Namorik Airport,MH-NMK
Rongelap Island,RNP,,Rongelap Island Airport,MH-RON
Arno Atoll,TIC,,Tinak Airport,MH-ARN
Jabor Jaluit Atoll,UIT,,Jaluit Airport,MH-JAL
Woja,WJA,,Woja Airport,MH-ALL
Wotje,WTE,,Wotje Airport,MH-WTJ
Wotho Island,WTO,,Wotho Island Airport,MH-WTN
Ahuas,AHS,,Ahuas Airport,HN-GD
Brus Laguna,BHG,,Brus Laguna Airport,HN-GD
La Unión,LUI,,Carta Airport,HN-OL
Coyoles,CYL,,Coyoles Airport,HN-YO
Cauquira,CDD,,Cauquira Airport,HN-GD
Olanchito,OAN,,El Arrayán Airport,HN-YO
El Aguacate,CAA,,El Aguacate Airport,HN-OL
Gracias,GAC,,Celaque Gracias Airport,HN-LE
Iriona,IRN,,Iriona Airport,HN-CL
Jutigalpa,JUT,,Jutigalpa airport,HN-OL
La Ceiba,LCE,,Goloson International Airport,HN-AT
La Esperanza,LEZ,,La Esperanza Airport,HN-IN
San Pedro Sula,SAP,,Ramón Villeda Morales International Airport,HN-CR
Limón,LMH,,Limon Airport,HN-CL
Mullen,MHN,,Hooker County Airport,US-NE
Guanaja,GJA,,La Laguna Airport,HN-IB
Palacios,PCH,,Palacios Airport,HN-GD
Puerto Lempira,PEU,,Puerto Lempira Airport,HN-GD
Coxen Hole,RTB,,Juan Manuel Gálvez International Airport,HN-IB
Copán Ruinas,RUY,,Rioamarillo Airport,HN-CP
Palmerola,XPL,,Palmerola International Airport / José Enrique Soto Cano Air Base,HN-CM
Tela,TEA,,Tela Airport,HN-AT
Tegucigalpa,TGU,,Toncontín International Airport,HN-FM
Trujillo,TJI,,Trujillo Airport,HN-CL
Tocoa,TCF,,Tocoa Airport,HN-CL
Sulaco,SCD,,Sulaco Airport,HN-YO
Utila Island,UII,,Utila Airport,HN-IB
Morehead,MHY,,Morehead Airport,PG-WPD
Yoro,ORO,,Yoro Airport,HN-YO
Mainoru,MIZ,,Mainoru Airstrip,AU-NT
Moki,MJJ,,Moki Airport,PG-MPM
Maganja,MJS,,Maganja da Costa Airport,MZ-Q
Boscobel,OCJ,,Ian Fleming International Airport,JM-05
Kingston,KIN,,Norman Manley International Airport,JM-01
Montego Bay,MBJ,,Sangster International Airport,JM-08
Ken Jones,POT,,Ken Jones Airport,JM-04
Babase Island,MKN,,Malekolon Airport,PG-NIK
Negril,NEG,,Negril Airport,JM-09
Tinson Pen,KTP,,Tinson Pen Airport,JM-02
Mili Island,MIJ,,Mili Island Airport,MH-MIL
Malalaua,MLQ,,Malalaua Airport,PG-GPK
Hinthada,HEB,,Hinthada Airport,MM-07
Kalaw Township,HEH,,Heho Airport,MM-17
Tizimin,TZM,,Aeródromo de Cupul,MX-YUC
Ciudad de Acapulco,ACA,,Aeropuerto Internacional Juan N. Álvarez,MX-GRO
Monterrey,NTR,,Del Norte International Airport,MX-NLE
Aguascalientes,AGU,,Aeropuerto Internacional Jesús Terán Peredo,MX-AGU
Huatulco,HUX,,Bahías de Huatulco International Airport,MX-OAX
Cananea,CNA,,Cananea National Airport,MX-SON
Temixco,CVJ,,Aeropuerto Internacional Mariano Matamoros,MX-MOR
Ciudad Acuña,ACN,,Ciudad Acuña New International Airport,MX-COA
Ciudad del Carmen,CME,,Ciudad del Carmen International Airport,MX-CAM
Nuevo Casas Grandes,NCG,,Aeropuerto Municipal de Nuevo Casas Grandes,MX-CHH
Culiacán,CUL,,Bachigualato Federal International Airport,MX-SIN
Chetumal,CTM,,Aeropuerto Internacional de Chetumal,MX-ROO
Ciudad Obregón,CEN,,Ciudad Obregón International Airport,MX-SON
Comitán,CJT,,San Antonio Copalar Airport,MX-CHP
Campeche,CPE,,Ingeniero Alberto Acuña Ongay International Airport,MX-CAM
Ciudad Juárez,CJS,,Abraham González International Airport,MX-CHH
Chichen Itza,CZA,,Aeropuerto Internacional de Chichen Itza,MX-YUC
Chihuahua,CUU,,General Roberto Fierro Villalobos International Airport,MX-CHH
Ciudad Victoria,CVM,,General Pedro Jose Mendez International Airport,MX-TAM
Celaya,CYW,,Aeropuerto Nacional Captain Rogelio Castillo,MX-GUA
Ciudad de Cozumel,CZM,,Aeropuerto Internacional de Cozumel,MX-ROO
Comondú,CUA,,Ciudad Constitución National Airport,MX-BCS
Ciudad Mante,MMC,,Ciudad Mante Los Huastecas National Airport,MX-TAM
Ciudad de Durango,DGO,,Aeropuerto Internacional General Guadalupe Victoria,MX-DUR
Tepic,TPQ,,Amado Nervo National Airport,MX-NAY
Ensenada,ESE,,Aeropuerto Internacional de Ensenada,MX-BCN
Guadalajara,GDL,,Guadalajara International Airport,MX-JAL
Guaymas,GYM,,General José María Yáñez International Airport,MX-SON
San Quintín,GUB,,Guerrero Negro Airport,MX-BCN
,TCN,,Tehuacan Airport,MX-PUE
Hermosillo,HMO,,General Ignacio P. Garcia International Airport,MX-SON
Colima,CLQ,,Aeropuerto Internacional Licenciado Miguel de la Madrid,MX-COL
Isla Mujeres,ISJ,,Aeropuerto Nacional de Isla Mujeres,MX-ROO
Saltillo,SLW,,Plan De Guadalupe International Airport,MX-COA
Ixtepec,IZT,,Aeropuerto Nacional General Antonio Cárdenas Rodríguez,MX-OAX
Xalapa,JAL,,El Lencero Airport,MX-VER
Atizapán de Zaragoza,AZP,,Aeropuerto Nacional Jorge Jiménez Cantú,MX-MEX
Lázaro Cárdenas,LZC,,Lázaro Cárdenas Airport,MX-MIC
Los Mochis,LMM,,Valle del Fuerte International Airport,MX-SIN
Silao,BJX,,Aeropuerto Internacional del Bajío,MX-GUA
La Paz,LAP,,Manuel Márquez de León International Airport,MX-BCS
Loreto,LTO,,Loreto International Airport,MX-BCS
Matamoros,MAM,,General Servando Canales International Airport,MX-TAM
Ciudad de Mérida,MID,,Aeropuerto Internacional Manuel Crescencio Rejón,MX-YUC
Mulege,MUG,,Mulege Airport,MX-BCS
Mexicali,MXL,,Aeropuerto Internacional Gral. Rodolfo Sánchez Taboada,MX-BCN
Morelia,MLM,,General Francisco J. Mujica International Airport,MX-MIC
Cosoleacaque,MTT,,Minatitlán/Coatzacoalcos International Airport,MX-VER
Monclova,LOV,,Monclova International Airport,MX-COA
Ciudad de México,MEX,,Benito Juárez International Airport,MX-DIF
Monterrey,MTY,,Monterrey International Airport,MX-NLE
Mazatlàn,MZT,,General Rafael Buelna International Airport,MX-SIN
Nogales,NOG,,Nogales International Airport,MX-SON
Nuevo Laredo,NLD,,Quetzalcóatl International Airport,MX-TAM
Oaxaca,OAX,,Aeropuerto Internacional Xoxocotlán,MX-OAX
Poza Rica,PAZ,,El Tajín National Airport,MX-VER
Puebla,PBC,,Aeropuerto Internacional Hermanos Serdán,MX-PUE
Piedras Negras,PDS,,Piedras Negras International Airport,MX-COA
La Ribera,PCO,,Punta Colorada Airport,MX-BCS
Uruapan,UPN,,Uruapan - Licenciado y General Ignacio Lopez Rayon International Airport,MX-MIC
Palenque,PQM,,Palenque International Airport,MX-CHP
Puerto Vallarta,PVR,,Puerto Vallarta International Airport,MX-JAL
Puerto Escondido,PXM,,Aeropuerto Internacional de Puerto Escondido,MX-OAX
Querétaro,QRO,,Querétaro Intercontinental Airport,MX-QUE
Reynosa,REX,,General Lucio Blanco International Airport,MX-TAM
San José del Cabo,SJD,,Aeropuerto Internacional de Los Cabos,MX-BCS
